#{"t_start": 1624019661.3561766, "env_id": "CartPole-v1"}
r,l,t
1.0,1,2.60243
1.0,1,2.604308
1.0,1,2.606147
1.0,1,2.608014
1.0,1,2.609863
1.0,1,2.611724
1.0,1,2.613576
1.0,1,2.615465
1.0,1,2.617526
1.0,1,2.619397
1.0,1,2.621237
1.0,1,2.62308
1.0,1,2.62491
1.0,1,2.62674
1.0,1,2.628572
1.0,1,2.630929
1.0,1,2.633279
1.0,1,2.635255
1.0,1,2.637152
1.0,1,2.639043
1.0,1,2.64074
1.0,1,2.642391
1.0,1,2.644015
1.0,1,2.64569
1.0,1,2.647535
1.0,1,2.649614
1.0,1,2.651365
1.0,1,2.653097
1.0,1,2.655018
1.0,1,2.657143
1.0,1,2.659373
1.0,1,2.661378
1.0,1,2.663367
1.0,1,2.665288
1.0,1,2.667179
1.0,1,2.669073
1.0,1,2.67103
1.0,1,2.672809
1.0,1,2.674572
1.0,1,2.676362
1.0,1,2.678123
1.0,1,2.679919
1.0,1,2.681712
1.0,1,2.683489
1.0,1,2.685279
1.0,1,2.687058
1.0,1,2.688839
1.0,1,2.690684
1.0,1,2.692526
1.0,1,2.69433
1.0,1,2.696138
1.0,1,2.697928
1.0,1,2.699755
1.0,1,2.701548
1.0,1,2.703348
1.0,1,2.705191
1.0,1,2.707041
1.0,1,2.708868
1.0,1,2.71069
1.0,1,2.712517
1.0,1,2.714279
1.0,1,2.716064
1.0,1,2.717889
1.0,1,2.71974
1.0,1,2.721594
1.0,1,2.723432
1.0,1,2.72527
1.0,1,2.727071
1.0,1,2.728859
1.0,1,2.730631
1.0,1,2.732417
1.0,1,2.734205
1.0,1,2.735991
1.0,1,2.737765
1.0,1,2.739516
1.0,1,2.741276
1.0,1,2.743059
1.0,1,2.744902
1.0,1,2.746777
1.0,1,2.748548
1.0,1,2.750546
1.0,1,2.752375
1.0,1,2.754207
1.0,1,2.756038
1.0,1,2.757832
1.0,1,2.759638
1.0,1,2.761406
1.0,1,2.763146
1.0,1,2.764858
1.0,1,2.766561
1.0,1,2.768299
1.0,1,2.770019
1.0,1,2.771754
1.0,1,2.773497
1.0,1,2.77523
1.0,1,2.776981
1.0,1,2.778809
1.0,1,2.780594
1.0,1,2.782313
1.0,1,2.784058
1.0,1,2.785993
1.0,1,2.787928
1.0,1,2.789862
1.0,1,2.791872
1.0,1,2.79383
1.0,1,2.795914
1.0,1,2.797977
1.0,1,2.799892
1.0,1,2.801884
1.0,1,2.803848
1.0,1,2.80568
1.0,1,2.807564
1.0,1,2.809388
1.0,1,2.811218
1.0,1,2.812985
1.0,1,2.81474
1.0,1,2.816516
1.0,1,2.818292
1.0,1,2.820158
1.0,1,2.82196
1.0,1,2.823749
1.0,1,2.825581
1.0,1,2.827425
1.0,1,2.832695
1.0,1,2.835057
1.0,1,2.837263
1.0,1,2.839253
1.0,1,2.841566
1.0,1,2.843815
1.0,1,2.846092
1.0,1,2.847921
1.0,1,2.849713
1.0,1,2.85148
1.0,1,2.853322
1.0,1,2.855136
1.0,1,2.856956
1.0,1,2.858754
1.0,1,2.860556
1.0,1,2.862329
1.0,1,2.864154
1.0,1,2.865949
1.0,1,2.867807
1.0,1,2.86967
1.0,1,2.871534
1.0,1,2.873385
1.0,1,2.875216
1.0,1,2.877018
1.0,1,2.878822
1.0,1,2.880579
1.0,1,2.882373
1.0,1,2.884201
1.0,1,2.886037
1.0,1,2.887845
1.0,1,2.889668
1.0,1,2.891498
1.0,1,2.893339
1.0,1,2.895228
1.0,1,2.897092
1.0,1,2.898971
1.0,1,2.900734
1.0,1,2.902503
1.0,1,2.904338
1.0,1,2.906113
1.0,1,2.907979
1.0,1,2.909813
1.0,1,2.911655
1.0,1,2.913501
1.0,1,2.915348
1.0,1,2.91711
1.0,1,2.918929
1.0,1,2.920696
1.0,1,2.922439
1.0,1,2.924243
1.0,1,2.926116
1.0,1,2.927922
1.0,1,2.929753
1.0,1,2.931616
1.0,1,2.933408
1.0,1,2.935168
1.0,1,2.936956
1.0,1,2.938908
1.0,1,2.94047
1.0,1,2.942269
1.0,1,2.944122
1.0,1,2.945983
1.0,1,2.947786
1.0,1,2.949653
1.0,1,2.951427
1.0,1,2.953213
1.0,1,2.954988
1.0,1,2.956779
1.0,1,2.958566
1.0,1,2.96035
1.0,1,2.962148
1.0,1,2.963948
1.0,1,2.965721
1.0,1,2.967595
1.0,1,2.969398
1.0,1,2.971143
1.0,1,2.97293
1.0,1,2.974931
1.0,1,2.976473
1.0,1,2.978296
1.0,1,2.980076
1.0,1,2.981864
1.0,1,2.983625
1.0,1,2.98537
1.0,1,2.987124
1.0,1,2.988897
1.0,1,2.990719
1.0,1,2.992519
1.0,1,2.994516
1.0,1,2.996296
1.0,1,2.998298
1.0,1,3.000322
1.0,1,3.002316
1.0,1,3.004193
1.0,1,3.00606
1.0,1,3.007946
1.0,1,3.009966
1.0,1,3.011945
1.0,1,3.01389
1.0,1,3.015831
1.0,1,3.017652
1.0,1,3.019474
1.0,1,3.021255
1.0,1,3.023209
1.0,1,3.025087
1.0,1,3.026898
1.0,1,3.028714
1.0,1,3.030487
1.0,1,3.03235
1.0,1,3.034146
1.0,1,3.035906
1.0,1,3.037657
1.0,1,3.039578
1.0,1,3.041433
1.0,1,3.043331
1.0,1,3.04536
1.0,1,3.047471
1.0,1,3.0495
1.0,1,3.051528
1.0,1,3.053362
1.0,1,3.055273
1.0,1,3.057103
1.0,1,3.058927
1.0,1,3.060719
1.0,1,3.062518
1.0,1,3.064322
1.0,1,3.066098
1.0,1,3.067861
1.0,1,3.069598
1.0,1,3.071413
1.0,1,3.073206
1.0,1,3.074996
1.0,1,3.076764
1.0,1,3.078526
1.0,1,3.080319
1.0,1,3.08215
1.0,1,3.084011
1.0,1,3.085847
1.0,1,3.087783
1.0,1,3.089625
1.0,1,3.091476
1.0,1,3.093308
1.0,1,3.095155
1.0,1,3.096978
1.0,1,3.098828
1.0,1,3.100671
1.0,1,3.1025
1.0,1,3.104369
1.0,1,3.10621
1.0,1,3.108379
1.0,1,3.110615
1.0,1,3.112892
1.0,1,3.114624
1.0,1,3.11634
1.0,1,3.118223
1.0,1,3.120092
